gameId,seed,winner,winnerLabel,roundsPlayed,sideADamageTaken,sideBDamageTaken,sideADefeated,sideBDefeated
1,42,sideA,Imperial Patrol,21,0,0,0,0
2,43,sideB,Korrga Solo,3,12,0,3,0
3,44,sideB,Korrga Solo,3,12,0,3,0
4,45,sideB,Korrga Solo,5,12,0,3,0
5,46,sideB,Korrga Solo,3,12,0,3,0
6,47,sideA,Imperial Patrol,21,0,0,0,0
7,48,sideA,Imperial Patrol,21,0,0,0,0
8,49,sideA,Imperial Patrol,21,0,0,0,0
9,50,sideA,Imperial Patrol,21,0,0,0,0
10,51,sideB,Korrga Solo,8,12,5,3,0
11,52,sideB,Korrga Solo,5,12,4,3,0
12,53,sideB,Korrga Solo,3,12,0,3,0
13,54,sideB,Korrga Solo,7,12,9,3,0
14,55,sideB,Korrga Solo,4,12,0,3,0
15,56,sideB,Korrga Solo,5,12,4,3,0
16,57,sideB,Korrga Solo,7,12,0,3,0
17,58,sideA,Imperial Patrol,21,0,0,0,0
18,59,sideA,Imperial Patrol,21,0,0,0,0
19,60,sideB,Korrga Solo,7,12,6,3,0
20,61,sideA,Imperial Patrol,21,0,0,0,0
21,62,sideB,Korrga Solo,3,12,0,3,0
22,63,sideB,Korrga Solo,5,12,8,3,0
23,64,sideB,Korrga Solo,3,12,0,3,0
24,65,sideB,Korrga Solo,4,12,6,3,0
25,66,sideB,Korrga Solo,10,12,2,3,0
26,67,sideB,Korrga Solo,4,12,0,3,0
27,68,sideB,Korrga Solo,3,12,0,3,0
28,69,sideB,Korrga Solo,4,12,11,3,0
29,70,sideB,Korrga Solo,3,12,0,3,0
30,71,sideB,Korrga Solo,5,12,4,3,0
31,72,sideB,Korrga Solo,7,12,12,3,0
32,73,sideB,Korrga Solo,5,12,0,3,0
33,74,sideB,Korrga Solo,4,12,0,3,0
34,75,sideB,Korrga Solo,8,12,7,3,0
35,76,sideB,Korrga Solo,4,12,0,3,0
36,77,sideB,Korrga Solo,7,12,0,3,0
37,78,sideA,Imperial Patrol,21,0,0,0,0
38,79,sideB,Korrga Solo,7,12,7,3,0
39,80,sideB,Korrga Solo,5,12,3,3,0
40,81,sideB,Korrga Solo,4,12,0,3,0
41,82,sideB,Korrga Solo,3,12,0,3,0
42,83,sideB,Korrga Solo,4,12,0,3,0
43,84,sideA,Imperial Patrol,21,0,0,0,0
44,85,sideB,Korrga Solo,3,12,0,3,0
45,86,sideB,Korrga Solo,8,12,3,3,0
46,87,sideB,Korrga Solo,4,12,0,3,0
47,88,sideB,Korrga Solo,4,12,0,3,0
48,89,sideB,Korrga Solo,3,12,0,3,0
49,90,sideB,Korrga Solo,4,12,2,3,0
50,91,sideB,Korrga Solo,8,12,10,3,0
51,92,sideA,Imperial Patrol,21,0,0,0,0
52,93,sideB,Korrga Solo,4,12,0,3,0
53,94,sideB,Korrga Solo,4,12,0,3,0
54,95,sideA,Imperial Patrol,21,0,0,0,0
55,96,sideB,Korrga Solo,6,12,6,3,0
56,97,sideA,Imperial Patrol,21,0,0,0,0
57,98,sideA,Imperial Patrol,21,0,0,0,0
58,99,sideB,Korrga Solo,5,12,0,3,0
59,100,sideB,Korrga Solo,4,12,5,3,0
60,101,sideB,Korrga Solo,6,12,2,3,0
61,102,sideA,Imperial Patrol,21,0,0,0,0
62,103,sideB,Korrga Solo,3,12,0,3,0
63,104,sideB,Korrga Solo,3,12,0,3,0
64,105,sideB,Korrga Solo,5,12,15,3,0
65,106,sideB,Korrga Solo,5,12,3,3,0
66,107,sideB,Korrga Solo,5,12,6,3,0
67,108,sideB,Korrga Solo,3,12,0,3,0
68,109,sideB,Korrga Solo,3,12,0,3,0
69,110,sideB,Korrga Solo,5,12,4,3,0
70,111,sideB,Korrga Solo,3,12,0,3,0
71,112,sideA,Imperial Patrol,21,0,0,0,0
72,113,sideB,Korrga Solo,3,12,0,3,0
73,114,sideA,Imperial Patrol,21,0,0,0,0
74,115,sideB,Korrga Solo,3,12,0,3,0
75,116,sideB,Korrga Solo,3,12,0,3,0
76,117,sideB,Korrga Solo,5,12,2,3,0
77,118,sideB,Korrga Solo,3,12,0,3,0
78,119,sideB,Korrga Solo,5,12,0,3,0
79,120,sideB,Korrga Solo,5,12,0,3,0
80,121,sideB,Korrga Solo,4,12,0,3,0
81,122,sideB,Korrga Solo,3,12,0,3,0
82,123,sideB,Korrga Solo,6,12,7,3,0
83,124,sideB,Korrga Solo,3,12,0,3,0
84,125,sideB,Korrga Solo,3,12,0,3,0
85,126,sideA,Imperial Patrol,21,0,0,0,0
86,127,sideB,Korrga Solo,3,12,0,3,0
87,128,sideB,Korrga Solo,8,12,7,3,0
88,129,sideB,Korrga Solo,6,12,10,3,0
89,130,sideB,Korrga Solo,4,12,0,3,0
90,131,sideB,Korrga Solo,6,12,8,3,0
91,132,sideB,Korrga Solo,3,12,0,3,0
92,133,sideA,Imperial Patrol,21,0,0,0,0
93,134,sideA,Imperial Patrol,21,0,0,0,0
94,135,sideB,Korrga Solo,7,12,10,3,0
95,136,sideB,Korrga Solo,4,12,0,3,0
96,137,sideB,Korrga Solo,3,12,0,3,0
97,138,sideB,Korrga Solo,5,12,2,3,0
98,139,sideB,Korrga Solo,6,12,4,3,0
99,140,sideB,Korrga Solo,5,12,5,3,0
100,141,sideB,Korrga Solo,3,12,4,3,0
